Aname,x,y
政立路桥,121.490009,31.307934
长江南路西塘桥,121.484653,31.33483
北横通道-新建路出入口（东）,121.504256,31.26002
白莲泾桥,121.527141,31.196083
政青路二桥,121.497864,31.313965
顾全路桥,121.535932,31.170502
政青路一桥,121.498166,31.318219
龙阳路立交桥,121.5291,31.199157
大连路隧道,121.52006,31.246636
南新桥,121.539155,31.173929
国定路桥,121.506564,31.301914
杨树浦港桥,121.511517,31.284819
杨高路浦建路立交,121.531708,31.207766
前锦桥,121.534873,31.197014
邯郸路地道,121.509186,31.298125
抚顺路桥,121.51542,31.280301
农场桥,121.514605,31.284858
本溪路桥,121.517771,31.276831
江浦路桥,121.518234,31.275989
吴淞大桥,121.494651,31.368348
淞沪路地道,121.509847,31.31009
控江路桥,121.519666,31.275226
黄兴路地道,121.515798,31.299928
政澄路桥,121.509683,31.32476
国晓路桥,121.509857,31.32601
北横通道-黄兴路出入口,121.524383,31.27265
国庠路桥,121.516435,31.304919
长江路隧道,121.503517,31.355428
黄兴路桥,121.52193,31.286355
长阳路桥,121.527369,31.266177
江浦路越江隧道,121.532579,31.251635
河间路桥,121.529748,31.262985
国和路,121.51934,31.306264
平凉路桥,121.531602,31.260179
浦东大道地道,121.536771,31.242939
外环隧道,121.503933,31.376873
广州路桥,121.535597,31.25591
黑山路桥,121.522661,31.306429
双阳路桥,121.527523,31.289285
沪南路川杨河桥,121.557017,31.177247
芦家桥,121.534697,31.292719
横浜一号桥,121.517821,31.362738
杨浦大桥,121.545824,31.254951
隆昌路下立交,121.540886,31.277962
清水河桥,121.52899,31.339271
洋泾港桥,121.554994,31.240149
国伟路立交桥,121.532127,31.331627
高浦港二号桥,121.525938,31.356943
军工路二号桥,121.530925,31.339126
包头路桥,121.538673,31.309085
国顺东路桥,121.540373,31.303182
中农新村桥,121.542393,31.296538
佳木斯路桥,121.543254,31.300593
万德路,121.55692,31.250921
中环军工路立交桥,121.546243,31.30697
罗山路立交桥,121.56605,31.236351
毛家浜一号桥,121.532151,31.368262
张江立交桥,121.574846,31.208522
双江路高新河桥,121.537943,31.354191
定海路桥,121.560574,31.271147
海安路桥,121.559076,31.290792
军工路隧道,121.564123,31.272091
周家嘴路越江隧道,121.563326,31.288951
翔殷路隧道,121.566101,31.302505
张家浜桥,121.586555,31.225717
八号桥,121.575653,31.270604
新堰桥,121.590159,31.225849
赵家沟大桥,121.578107,31.286795
金桥路张家浜桥,121.605586,31.229449
三桥,121.605622,31.230205
申江路立交桥,121.62183,31.182728
季景路桥,121.582286,31.344912
胜利路桥,121.583634,31.345207
高木桥,121.632804,31.183069
杨高北路立交桥,121.604225,31.303598
马家宅河桥,121.631513,31.226287
外环运河桥,121.610541,31.334059
吕三桥,121.640565,31.217322
赵家沟桥,121.625332,31.289637
环东二大道立交,121.643733,31.225941
新桥,121.645444,31.231701
金海路跨线桥,121.644055,31.264914
