node,typecode,x,y,id,name,adname,roadname,roadname_origin,桥隧类型
162,190307,121.414616,31.307054,B0FFGQ5WF1,机场河桥,宝山区,沪太路辅路,沪太路辅路,梁桥
163,190307,121.455558,31.148525,B0IA3AOZ0L,张家塘港桥,徐汇区,龙腾大道,龙腾大道,梁桥
164,190307,121.407349,31.341872,B0FFGQ54XJ,崇明塘桥,宝山区,盛联路,盛联路,梁桥
165,190307,121.432587,31.245096,BY0001M4IK,镇坪路桥,普陀区,镇坪路桥,镇坪路,梁桥
166,190307,121.424558,31.280197,B0FFGQA3RR,鲍家桥,静安区,沪太路,沪太路,梁桥
167,190307,121.4318,31.252224,B0FFGQAOYB,光新路桥,普陀区,光新路桥,光新路,梁桥
168,190307,121.452679,31.171005,B0FFGQ53OS,龙华通道桥,徐汇区,龙华通道桥,龙华西路,梁桥
170,190307,121.435669,31.252978,B0FFGQ6SO3,中山北路四号桥,普陀区,中山北路,中山北路,梁桥
172,190307,121.438149,31.248678,B0FFHF5O9O,江宁路桥,普陀区,江宁路桥,光复西路,梁桥
173,190307,121.456711,31.177228,B0FFH02EBA,宛平南路桥,徐汇区,宛平南路,宛平南路,梁桥
174,190307,121.430631,31.286627,BZAGR001SA,永和路桥,静安区,永和路,永和路,梁桥
175,190307,121.429622,31.298993,BZAGR001RT,原平路桥,静安区,原平路,原平路,梁桥
176,190307,121.434188,31.286847,B0FFGQ863I,白遗桥,静安区,白遗桥,永和路,梁桥
178,190307,121.44764,31.245107,B0FFH02EA3,长寿路桥,普陀区,长寿路桥,长寿路,梁桥
180,190307,121.437383,31.293913,B00155POBB,中扬湖桥,静安区,中扬湖桥,江场三路,梁桥
181,190307,121.434187,31.307276,BZAGR0024T,康宁路桥,静安区,康宁路,康宁路,梁桥
183,190307,121.449532,31.253229,B0FFGQ6V8U,大洋桥,静安区,交通路,交通路,梁桥
185,190307,121.452789,31.241483,BY0001M4OI,普济路桥,静安区,普济路,普济路,梁桥
189,190307,121.447955,31.267864,B0FFG6DOEL,延长路桥,静安区,延长中路,延长中路,梁桥
190,190307,121.450937,31.256325,B0FFGQAH7U,彭越浦桥,普陀区,沪太路,沪太路,梁桥
191,190307,121.475313,31.161558,B00155PUHT,耀龙路桥,浦东新区,耀龙路桥,耀龙路,梁桥
192,190307,121.449468,31.264497,B0FFGQ7S5S,洛川路桥,静安区,洛川路桥,洛川中路,梁桥
195,190307,121.458769,31.238394,B0FFK80CXH,恒丰路桥,静安区,恒丰路桥,恒丰路,梁桥
196,190307,121.453069,31.260675,B0FFGQ8K2K,谈家桥,静安区,谈家桥路,谈家桥路,梁桥
197,190307,121.45984,31.247608,B0FFGQ7R3D,秣陵路桥,静安区,秣陵路桥,秣陵路,梁桥
198,190307,121.481671,31.163004,B0FFF9R3JI,川杨河桥,浦东新区,南北高架路,南北高架路,梁桥
209,190307,121.461746,31.27966,B0FFGQ7R0J,广中路桥,虹口区,广中路桥,广中路,梁桥
211,190307,121.472255,31.240155,B0FFGL11RX,西藏路桥,静安区,西藏路桥,西藏路桥,梁桥
212,190307,121.461819,31.284707,B0FFIOBYCP,灵石路桥,虹口区,灵石路桥,广灵四路,梁桥
213,190307,121.465462,31.274191,BZAGR001VR,株洲路桥,虹口区,株洲路,株洲路,梁桥
215,190307,121.460943,31.300266,B00155P23A,走马塘桥,静安区,平型关路,平型关路,梁桥
217,190307,121.497083,31.165982,B0FFG6DOIP,上南路川杨河桥,浦东新区,上南路,上南路,梁桥
218,190307,121.470245,31.271858,B0FFH02FR0,八字桥,虹口区,柳营路,柳营路,梁桥
219,190307,121.478882,31.240281,B0G397QT42,福建路桥,黄浦区,福建路桥,福建路桥,梁桥
220,190307,121.499143,31.162116,B00155PUPU,杨思桥,浦东新区,杨思路,杨思路,梁桥
221,190307,121.463944,31.299925,BZAGR001WY,奎照路庐泾浦桥,静安区,奎照路,奎照路,梁桥
222,190307,121.463493,31.306133,B0FFGQ7EMR,二号桥,静安区,场中路,场中路,梁桥
223,190307,121.465507,31.30016,BZAGR00155,张贵桥,虹口区,张贵桥,奎照路,梁桥
224,190307,121.463523,31.310792,B0FFGQ799C,临汾路桥,静安区,临汾路桥,临汾路,梁桥
225,190307,121.475954,31.265472,BZAGR001ZB,青云路桥,虹口区,青云路桥,青云路,梁桥
226,190307,121.483007,31.241929,B0H1HRSKRV,河南路桥,黄浦区,河南路桥,河南路桥,梁桥
227,190307,121.465573,31.313512,B0FFM91Z9Q,汾西路桥,静安区,汾西路,汾西路,梁桥
